condition,corpus_index,trace_id,problem_id,analysis_length_label,solution_token_count,sampled_token_count,sampled_fraction
full_token_uniform,0,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_00,hf-000000,long,298,26,0.087248322147651
full_token_uniform,1,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_01,hf-000000,other_correct,216,14,0.06481481481481481
full_token_uniform,2,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_02,hf-000000,short,189,23,0.12169312169312169
full_token_uniform,3,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_03,hf-000000,medium,209,21,0.10047846889952153
full_token_uniform,4,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_04,hf-000000,other_correct,213,22,0.10328638497652583
full_token_uniform,5,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_05,hf-000000,long,250,24,0.096
full_token_uniform,6,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_06,hf-000000,long,240,18,0.075
full_token_uniform,7,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_07,hf-000000,short,166,13,0.0783132530120482
full_token_uniform,8,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_08,hf-000000,other_correct,212,14,0.0660377358490566
full_token_uniform,9,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_09,hf-000000,other_correct,192,27,0.140625
full_token_uniform,10,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_10,hf-000000,other_correct,214,14,0.06542056074766354
full_token_uniform,11,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_11,hf-000000,other_correct,201,23,0.11442786069651742
full_token_uniform,12,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_12,hf-000000,other_correct,191,15,0.07853403141361257
full_token_uniform,13,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_13,hf-000000,short,185,20,0.10810810810810811
full_token_uniform,14,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_14,hf-000000,short,170,17,0.1
full_token_uniform,15,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_15,hf-000000,long,226,24,0.10619469026548672
full_token_uniform,32,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_00,hf-000002,short,262,29,0.11068702290076336
full_token_uniform,33,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_01,hf-000002,short,278,31,0.11151079136690648
full_token_uniform,34,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_02,hf-000002,other_correct,284,32,0.11267605633802817
full_token_uniform,35,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_03,hf-000002,long,314,38,0.12101910828025478
full_token_uniform,36,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_04,hf-000002,other_correct,299,33,0.11036789297658862
full_token_uniform,37,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_05,hf-000002,medium,286,34,0.11888111888111888
full_token_uniform,38,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_06,hf-000002,long,313,32,0.10223642172523961
full_token_uniform,39,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_07,hf-000002,other_correct,280,36,0.12857142857142856
full_token_uniform,40,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_08,hf-000002,other_correct,280,31,0.11071428571428571
full_token_uniform,41,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_09,hf-000002,long,346,28,0.08092485549132948
full_token_uniform,42,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_10,hf-000002,other_correct,298,33,0.11073825503355705
full_token_uniform,43,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_11,hf-000002,other_correct,308,28,0.09090909090909091
full_token_uniform,44,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_12,hf-000002,other_correct,301,32,0.10631229235880399
full_token_uniform,45,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_13,hf-000002,long,313,27,0.08626198083067092
full_token_uniform,46,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_14,hf-000002,short,277,17,0.061371841155234655
full_token_uniform,47,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_15,hf-000002,short,274,23,0.08394160583941605
full_token_uniform,48,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_00,hf-000003,short,195,16,0.08205128205128205
full_token_uniform,49,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_01,hf-000003,other_correct,245,23,0.09387755102040816
full_token_uniform,50,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_02,hf-000003,long,272,25,0.09191176470588236
full_token_uniform,51,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_03,hf-000003,other_correct,244,28,0.11475409836065574
full_token_uniform,52,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_04,hf-000003,short,195,21,0.1076923076923077
full_token_uniform,53,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_05,hf-000003,other_correct,203,23,0.11330049261083744
full_token_uniform,54,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_06,hf-000003,other_correct,255,20,0.0784313725490196
full_token_uniform,55,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_07,hf-000003,other_correct,203,23,0.11330049261083744
full_token_uniform,56,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_08,hf-000003,short,199,19,0.09547738693467336
full_token_uniform,57,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_09,hf-000003,medium,242,28,0.11570247933884298
full_token_uniform,58,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_10,hf-000003,long,267,32,0.1198501872659176
full_token_uniform,59,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_11,hf-000003,short,178,21,0.11797752808988764
full_token_uniform,60,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_12,hf-000003,long,282,24,0.0851063829787234
full_token_uniform,61,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_13,hf-000003,other_correct,244,28,0.11475409836065574
full_token_uniform,62,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_14,hf-000003,other_correct,205,24,0.11707317073170732
full_token_uniform,63,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_15,hf-000003,long,274,26,0.0948905109489051
full_token_uniform,80,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_00,hf-000014,short,215,27,0.12558139534883722
full_token_uniform,81,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_01,hf-000014,short,258,35,0.13565891472868216
full_token_uniform,82,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_02,hf-000014,short,271,26,0.0959409594095941
full_token_uniform,83,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_03,hf-000014,other_correct,341,53,0.15542521994134897
